Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-04-20,183.6,186.58,167.2,170.6,0
2020-04-21,170.59,174.75,168.48,172.83,0
2020-04-22,172.83,184.19,170.13,181.39,0
2020-04-23,181.35,193.25,178.61,190.72,0
2020-04-24,190.63,190.8,183.77,187.6,0
2020-04-25,187.57,197.97,186.12,192.97,0
2020-04-26,192.97,199.87,192.6,196.35,0
2020-04-27,196.36,199.15,189.95,195.11,0
2020-04-28,195,197.8,192.54,196.48,0
2020-04-29,196.48,218.12,196.31,215.5,0
2020-04-30,215.52,227.32,202.74,209.18,0
2020-05-01,209.18,217.38,205.53,212.43,0
2020-05-02,212.44,215.37,210.56,213.96,0
2020-05-03,213.96,219.19,205.5,209.5,0
2020-05-04,209.56,211.62,195.34,208.95,0
2020-05-05,208.96,211.93,201.62,204.96,0
2020-05-06,204.96,211.13,202.28,206.36,0
2020-05-07,206.36,215.09,197.13,212.59,0
2020-05-08,212.54,216.87,207.41,214.97,0
2020-05-09,214.97,215.1,208.64,210.94,0
2020-05-10,210.93,211.83,181.04,189.25,0
2020-05-11,189.25,193.54,177.71,185.48,0
2020-05-12,185.53,192.23,184.13,187.15,0
2020-05-13,187.46,201.03,187.46,200.72,0
2020-05-14,200.71,206.11,196.22,203.14,0
2020-05-15,203.15,204.45,192.05,196.12,0
2020-05-16,196.15,203.17,193.38,201.54,0
2020-05-17,201.57,209.74,199.76,208.81,0
2020-05-18,208.81,216.92,206.23,213.25,0
2020-05-19,213.26,215.75,209.52,212.32,0
2020-05-20,212.35,215.39,206.49,210.23,0
2020-05-21,210.21,211.41,191.63,198.71,0
2020-05-22,198.78,209.11,196.33,208.35,0
2020-05-23,208.37,211.19,204.95,208.14,0
2020-05-24,208.15,210.57,201.9,207.06,0
2020-05-25,207.06,207.08,198.28,204.24,0
2020-05-26,204.25,204.94,196.93,201.22,0
2020-05-27,201.22,207.79,200.55,205.43,0
2020-05-28,205.43,215.58,204.68,213.93,0
2020-05-29,213.96,224.58,213.94,218.78,0
2020-05-30,218.81,239.52,218.67,239.32,0
2020-05-31,239.34,246.38,232.29,234.56,0
2020-06-01,234.43,242.43,230.07,241.29,0
2020-06-02,241.23,253.19,229.75,237.82,0
2020-06-03,237.81,242.61,233.79,241.23,0
2020-06-04,241.23,246.35,236.34,241.93,0
2020-06-05,241.92,247.69,239.53,240.36,0
2020-06-06,240.47,244.47,238.06,242.59,0
2020-06-07,242.59,243.95,235.12,242.06,0
2020-06-08,242.1,245.44,241.17,242.94,0
2020-06-09,242.98,249.8,239.48,244.8,0
2020-06-10,244.72,250.24,242.41,246.84,0
2020-06-11,246.89,250.1,226.04,233.19,0
2020-06-12,233.23,239.24,228.21,237.13,0
2020-06-13,237.16,238.69,234.61,237.34,0
2020-06-14,237.35,238.52,231.82,232.8,0
2020-06-15,232.84,234.14,218.44,231.84,0
2020-06-16,231.83,236,228.88,234.67,0
2020-06-17,234.67,237.05,227.99,232.19,0
2020-06-18,232.19,234.43,227.74,229.87,0
2020-06-19,229.89,232.42,226.61,229.56,0
2020-06-20,229.57,230.65,225.97,228.04,0
2020-06-21,228.02,231.16,228.02,229.42,0
2020-06-22,229.42,246.74,227.09,243.12,0
2020-06-23,243.07,244.84,240.89,244.16,0
2020-06-24,244.16,249.12,231.1,234.6,0
2020-06-25,234.61,235.58,227.46,234.09,0
2020-06-26,234.09,234.31,227.6,230.3,0
2020-06-27,230.3,231.02,216.73,221.92,0
2020-06-28,221.92,227.75,218.09,225.14,0
2020-06-29,225.14,229.07,221.21,228.39,0
2020-06-30,228.39,229.88,223.01,226.31,0
2020-07-01,226.22,232.77,224.22,231.25,0
2020-07-02,231.26,232.1,223.23,228.17,0
2020-07-03,227.84,228.14,225.61,226.9,0
2020-07-04,226.91,230.61,224.5,228.82,0
2020-07-05,228.84,229.89,223.7,226.37,0
2020-07-06,226.29,240.72,226.29,239.04,0
2020-07-07,238.95,243.71,234.77,238.21,0
2020-07-08,238.22,248.94,237.91,247.6,0
2020-07-09,247.59,248.31,238.09,241.83,0
2020-07-10,241.85,242.13,235.97,239.08,0
2020-07-11,239.13,241.62,237.78,238.99,0
2020-07-12,238.98,243.71,236.83,239.01,0
2020-07-13,239.11,245.26,237.49,239.95,0
2020-07-14,239.95,242.02,237.06,240.26,0
2020-07-15,240.28,241.33,236.68,238.69,0
2020-07-16,238.72,239.15,230.13,232.82,0
2020-07-17,232.82,234.47,231.76,232.65,0
2020-07-18,232.86,236.92,232.39,236.24,0
2020-07-19,236.19,236.19,233.47,235.72,0
2020-07-20,235.71,239.85,234.35,236.11,0
2020-07-21,236.1,246.83,235.73,244.9,0
2020-07-22,244.63,247.73,241.91,247.41,0
2020-07-23,247.61,280.76,247.3,275.03,0
2020-07-24,275.04,287.68,268.68,285.57,0
2020-07-25,285.47,308.17,278.41,303.7,0
2020-07-26,303.7,319.06,300.69,310.89,0
2020-07-27,310.79,329.67,310.24,322.65,0
2020-07-28,322.61,333.53,306.73,318.59,0
2020-07-29,318.56,325.36,313.1,323.7,0
2020-07-30,323.73,340.91,314.9,335.91,0
2020-07-31,335.87,349.46,329.21,347.73,0
2020-08-01,347.73,392.96,343.42,384.94,0
2020-08-02,384.93,414.86,345.15,377.63,0
2020-08-03,377.59,398.01,367.27,384.09,0
2020-08-04,383.35,402.48,380.92,391.99,0
2020-08-05,391.93,407.61,384.24,405.66,0
2020-08-06,405.78,405.92,392.97,395.58,0
2020-08-07,395.61,398.29,365.76,379.46,0
