Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2022-03-21,1920.22,1939.96,1918.33,1936.24
2022-03-22,1936.24,1938.36,1911.29,1920.87
2022-03-23,1920.74,1948.41,1915.59,1945.21
2022-03-24,1945.16,1965.74,1937.59,1958.42
2022-03-25,1958.33,1964.27,1943.37,1958.16
2022-03-28,1959.24,1959.75,1917.11,1922.78
2022-03-29,1923.06,1929.38,1890.42,1919.48
2022-03-30,1920.21,1938.18,1916.08,1932.71
2022-03-31,1933.31,1949.8,1919.39,1937.27
2022-04-01,1937.58,1939.54,1918.09,1922.73
2022-04-04,1925.5,1936.8,1916.2,1932.74
2022-04-05,1932.89,1944.57,1918.065,1923.495
2022-04-06,1923.81,1933.565,1916.055,1925.355
2022-04-07,1925.25,1937.815,1920.625,1931.575
2022-04-08,1931.6,1948.115,1927.875,1944.185
2022-04-11,1947.06,1969.125,1940.115,1953.765
2022-04-12,1954.16,1978.405,1949.905,1966.615
2022-04-13,1967.08,1981.555,1962.965,1978.185
2022-04-14,1977.56,1980.405,1961.335,1973.495
2022-04-18,1974.2,1998.325,1971.29,1978.735
2022-04-19,1977.81,1981.985,1944.335,1950.145
2022-04-20,1950.35,1958.355,1939.355,1957.625
2022-04-21,1957.17,1957.625,1936.895,1951.395
2022-04-22,1951.11,1955.635,1926.845,1932.645
2022-04-25,1932.05,1934.425,1891.645,1898.145
2022-04-26,1898.67,1911.165,1895.825,1905.315
2022-04-27,1905.93,1907.095,1881.445,1885.955
2022-04-28,1885.83,1896.755,1872.355,1894.545
2022-04-29,1894.91,1919.975,1892.635,1896.395
2022-05-02,1896.11,1899.955,1855.195,1862.885
2022-05-03,1863.52,1877.955,1850.495,1868.295
2022-05-04,1868.4,1889.595,1861.495,1881.335
2022-05-05,1883.25,1909.845,1872.765,1877.165
2022-05-06,1877.15,1892.555,1866.265,1880.915
2022-05-09,1882.28,1885.765,1852.025,1853.865
2022-05-10,1854.46,1865.455,1835.825,1838.325
2022-05-11,1838.85,1857.985,1832.165,1852.525
2022-05-12,1852.02,1858.895,1821.465,1821.805
2022-05-13,1822.51,1828.785,1799.215,1809.765
2022-05-16,1811.51,1826.865,1787.395,1823.995
2022-05-17,1825.78,1836.075,1812.995,1815.065
2022-05-18,1814.68,1824.685,1807.585,1816.615
